id,country,city,category,instruction,input,response,attractions,best_time,halal_info,budget_level,suggested_days,tags
12,Uzbekistan,Shakhrisabz,Conversation,I am looking for halal food in Shakhrisabz.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Registan; Ark Fortress; Gur-e-Amir,"April–June, September–October",halal available,budget,7,"family, luxury, nature"
13,Turkmenistan,Ashgabat,Conversation,I am looking for halal food in Ashgabat.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Yangykala Canyon; Ruins of Merv; Darvaza Gas Crater,"April–June, September–October",halal available,budget,5,"history, family, food"
14,Tajikistan,Dushanbe,Q&A,"Recommend a 3-day itinerary for Dushanbe, Tajikistan.",,Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Fann Mountains; Pamir Mountains; Iskanderkul,May–September,halal available,luxury,1,"nature, halal, adventure"
15,Uzbekistan,Shakhrisabz,Conversation,I have 7 days and want to explore Uzbekistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Itchan Kala; Gur-e-Amir; Shah-i-Zinda,"April–June, September–October",halal available,luxury,4,"adventure, family, halal"
16,Kazakhstan,Shymkent,Q&A,What outdoor activities are popular in Kazakhstan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Bayterek Tower; Big Almaty Lake; Aksu-Zhabagly,May–September,halal available,budget,2,"nature, food, history"
17,Turkmenistan,Balkanabat,Q&A,"Are there halal restaurants in Balkanabat, Turkmenistan?",,"Yes, Balkanabat has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Darvaza Gas Crater; Yangykala Canyon; Nisa Fortress,"April–June, September–October",halal available,budget,1,"history, budget, food"
18,Uzbekistan,Shakhrisabz,Q&A,What outdoor activities are popular in Uzbekistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Itchan Kala; Gur-e-Amir; Ark Fortress,"April–June, September–October",halal available,luxury,5,"luxury, nature, adventure"
19,Tajikistan,Khujand,Q&A,What outdoor activities are popular in Tajikistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Rudaki Park; Fann Mountains; Pamir Mountains,May–September,halal available,luxury,1,"nature, history, adventure"
20,Kyrgyzstan,Bishkek,Q&A,"Are there halal restaurants in Bishkek, Kyrgyzstan?",,"Yes, Bishkek has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Fairy Tale Canyon; Son-Kul Lake; Ala-Too Square,June–September,halal available,mid-range,4,"adventure, budget, history"
21,Tajikistan,Panjakent,Q&A,What outdoor activities are popular in Tajikistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Ancient Penjikent; Iskanderkul; Rudaki Park,May–September,limited halal options,budget,2,"budget, adventure, luxury"
22,Kazakhstan,Karaganda,User_Preference,I prefer mountains and hiking.,,"Recommend outdoor, nature-focused destinations in Kazakhstan.",Big Almaty Lake; Charyn Canyon; Medeu Skating Rink,May–September,halal available,mid-range,3,"budget, halal, luxury"
23,Turkmenistan,Dashoguz,Q&A,How can I travel from Dashoguz to the capital of Turkmenistan?,,Turkmenistan offers diverse travel experiences; let me know your interests.,Ruins of Merv; Darvaza Gas Crater; Nisa Fortress,"April–June, September–October",halal available,budget,7,"halal, history, budget"
24,Turkmenistan,Dashoguz,Destination,"Provide a short description of Dashoguz, Turkmenistan.",,"Dashoguz in Turkmenistan is known for Yangykala Canyon and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Ichlekli.",Darvaza Gas Crater; Yangykala Canyon; Kunya-Urgench,"April–June, September–October",halal available,budget,7,"adventure, luxury, history"
25,Turkmenistan,Mary,Destination,"Provide a short description of Mary, Turkmenistan.",,"Mary in Turkmenistan is known for Darvaza Gas Crater and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Darvaza Gas Crater; Kunya-Urgench; Nisa Fortress,"April–June, September–October",halal available,luxury,3,"family, nature, halal"
26,Kyrgyzstan,Osh,Q&A,What is the best time to visit Kyrgyzstan?,,The best time to visit Kyrgyzstan is June–September.,Burana Tower; Son-Kul Lake; Issyk-Kul Lake,June–September,limited halal options,budget,1,"luxury, family, budget"
27,Uzbekistan,Tashkent,Destination,"Provide a short description of Tashkent, Uzbekistan.",,"Tashkent in Uzbekistan is known for Shah-i-Zinda and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Samsa.",Gur-e-Amir; Ark Fortress; Registan,"April–June, September–October",halal available,mid-range,3,"food, adventure, family"
28,Kyrgyzstan,Jalal-Abad,User_Preference,I like historical sites and local food.,,Recommend cities for history & food lovers in Kyrgyzstan.,Fairy Tale Canyon; Burana Tower; Son-Kul Lake,June–September,halal available,budget,3,"nature, history, halal"
29,Turkmenistan,Mary,Q&A,What cultural etiquette should I know before visiting Turkmenistan?,,"Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",Ruins of Merv; Nisa Fortress; Darvaza Gas Crater,"April–June, September–October",halal available,mid-range,5,"luxury, food, history"
30,Uzbekistan,Khiva,Conversation,"Hi, I want to plan a trip to Uzbekistan.",,"Great! Do you prefer culture, nature, or adventure?",Registan; Ark Fortress; Shah-i-Zinda,"April–June, September–October",halal available,mid-range,2,"luxury, family, halal"
31,Tajikistan,Panjakent,Q&A,"Suggest top places to visit in Panjakent, Tajikistan.",,"Top attractions in Tajikistan include Pamir Mountains, Iskanderkul, Ancient Penjikent.",Ancient Penjikent; Pamir Mountains; Rudaki Park,May–September,halal available,mid-range,3,"history, food, nature"
32,Kazakhstan,Almaty,Q&A,How do I get a visa for Kazakhstan (if needed)?,,Visa requirements vary by nationality. Check the embassy website or official government portal for the latest visa rules for Kazakhstan.,Big Almaty Lake; Medeu Skating Rink; Charyn Canyon,May–September,halal available,budget,4,"history, nature, halal"
33,Kyrgyzstan,Naryn,Conversation,I have 7 days and want to explore Kyrgyzstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Burana Tower; Issyk-Kul Lake; Fairy Tale Canyon,June–September,halal available,budget,10,"luxury, nature, budget"
34,Tajikistan,Khorog,Q&A,Which mosque or prayer facilities are near Khorog's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Pamir Mountains; Ancient Penjikent; Iskanderkul,May–September,halal available,mid-range,3,"family, budget, history"
35,Kyrgyzstan,Karakol,Destination,"Provide a short description of Karakol, Kyrgyzstan.",,Karakol in Kyrgyzstan is known for Son-Kul Lake and rich cultural heritage. Best time to visit: June–September. Popular foods: Kuurdak.,Fairy Tale Canyon; Burana Tower; Ala-Too Square,June–September,halal available,mid-range,2,"family, history, budget"
36,Turkmenistan,Dashoguz,Q&A,Which mosque or prayer facilities are near Dashoguz's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Nisa Fortress; Kunya-Urgench; Yangykala Canyon,"April–June, September–October",limited halal options,budget,4,"adventure, food, history"
37,Tajikistan,Dushanbe,Destination,"Provide a short description of Dushanbe, Tajikistan.",,Dushanbe in Tajikistan is known for Ancient Penjikent and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,Pamir Mountains; Fann Mountains; Ancient Penjikent,May–September,halal available,luxury,3,"halal, luxury, history"
38,Kyrgyzstan,Jalal-Abad,Q&A,Is Kyrgyzstan safe for solo female travelers?,,Kyrgyzstan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,Burana Tower; Son-Kul Lake; Fairy Tale Canyon,June–September,halal available,budget,2,"budget, halal, adventure"
39,Kazakhstan,Aktau,Destination,"Provide a short description of Aktau, Kazakhstan.",,Aktau in Kazakhstan is known for Big Almaty Lake and rich cultural heritage. Best time to visit: May–September. Popular foods: Baursak.,Charyn Canyon; Bayterek Tower; Medeu Skating Rink,May–September,halal available,luxury,5,"halal, adventure, budget"
40,Tajikistan,Khujand,Destination,"Provide a short description of Khujand, Tajikistan.",,Khujand in Tajikistan is known for Pamir Mountains and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,Iskanderkul; Fann Mountains; Rudaki Park,May–September,halal available,luxury,3,"nature, budget, luxury"
41,Kyrgyzstan,Osh,Conversation,I have 7 days and want to explore Kyrgyzstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Ala-Too Square; Fairy Tale Canyon; Son-Kul Lake,June–September,limited halal options,luxury,10,"nature, adventure, budget"
42,Turkmenistan,Mary,Conversation,Can you help me plan a family trip to Mary?,,Sure — how many family members and ages?,Kunya-Urgench; Yangykala Canyon; Darvaza Gas Crater,"April–June, September–October",halal available,luxury,1,"nature, budget, adventure"
43,Kazakhstan,Astana,Conversation,"I'm on a tight budget, any cheap places to stay in Astana?",,I will suggest budget guesthouses and hostels near major attractions.,Big Almaty Lake; Charyn Canyon; Bayterek Tower,May–September,halal available,budget,4,"food, budget, adventure"
44,Turkmenistan,Balkanabat,Destination,"Provide a short description of Balkanabat, Turkmenistan.",,"Balkanabat in Turkmenistan is known for Kunya-Urgench and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Yangykala Canyon; Kunya-Urgench; Nisa Fortress,"April–June, September–October",halal available,budget,7,"luxury, adventure, food"
45,Kazakhstan,Shymkent,Conversation,"I'm on a tight budget, any cheap places to stay in Shymkent?",,I will suggest budget guesthouses and hostels near major attractions.,Big Almaty Lake; Medeu Skating Rink; Aksu-Zhabagly,May–September,halal available,luxury,3,"adventure, food, budget"
46,Kyrgyzstan,Jalal-Abad,Q&A,What is the best time to visit Kyrgyzstan?,,The best time to visit Kyrgyzstan is June–September.,Issyk-Kul Lake; Son-Kul Lake; Burana Tower,June–September,halal available,budget,1,"budget, adventure, food"
47,Turkmenistan,Dashoguz,Destination,"Provide a short description of Dashoguz, Turkmenistan.",,"Dashoguz in Turkmenistan is known for Ruins of Merv and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Plov.",Kunya-Urgench; Darvaza Gas Crater; Nisa Fortress,"April–June, September–October",halal available,budget,3,"family, budget, adventure"
48,Tajikistan,Panjakent,Conversation,"I'm on a tight budget, any cheap places to stay in Panjakent?",,I will suggest budget guesthouses and hostels near major attractions.,Ancient Penjikent; Pamir Mountains; Rudaki Park,May–September,halal available,mid-range,4,"history, adventure, food"
49,Tajikistan,Khujand,Conversation,I have 7 days and want to explore Tajikistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Ancient Penjikent; Iskanderkul; Pamir Mountains,May–September,halal available,luxury,1,"nature, halal, adventure"
50,Kazakhstan,Karaganda,Q&A,How can I travel from Karaganda to the capital of Kazakhstan?,,Kazakhstan offers diverse travel experiences; let me know your interests.,Big Almaty Lake; Bayterek Tower; Charyn Canyon,May–September,halal available,mid-range,10,"budget, food, adventure"
51,Kyrgyzstan,Bishkek,Destination,"Provide a short description of Bishkek, Kyrgyzstan.",,Bishkek in Kyrgyzstan is known for Fairy Tale Canyon and rich cultural heritage. Best time to visit: June–September. Popular foods: Beshbarmak.,Burana Tower; Issyk-Kul Lake; Fairy Tale Canyon,June–September,halal available,luxury,1,"history, nature, budget"
52,Uzbekistan,Shakhrisabz,Q&A,What is the best time to visit Uzbekistan?,,"The best time to visit Uzbekistan is April–June, September–October.",Itchan Kala; Registan; Ark Fortress,"April–June, September–October",limited halal options,mid-range,7,"family, budget, food"
53,Kazakhstan,Aktau,Destination,"Provide a short description of Aktau, Kazakhstan.",,Aktau in Kazakhstan is known for Charyn Canyon and rich cultural heritage. Best time to visit: May–September. Popular foods: Beshbarmak.,Bayterek Tower; Charyn Canyon; Aksu-Zhabagly,May–September,halal available,mid-range,5,"budget, adventure, halal"
54,Kazakhstan,Almaty,Destination,"Provide a short description of Almaty, Kazakhstan.",,Almaty in Kazakhstan is known for Medeu Skating Rink and rich cultural heritage. Best time to visit: May–September. Popular foods: Beshbarmak.,Bayterek Tower; Charyn Canyon; Aksu-Zhabagly,May–September,halal available,mid-range,5,"budget, halal, food"
55,Uzbekistan,Shakhrisabz,Destination,"Provide a short description of Shakhrisabz, Uzbekistan.",,"Shakhrisabz in Uzbekistan is known for Registan and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Samsa.",Itchan Kala; Registan; Gur-e-Amir,"April–June, September–October",limited halal options,luxury,10,"luxury, halal, nature"
56,Tajikistan,Khujand,Conversation,I am looking for halal food in Khujand.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Ancient Penjikent; Rudaki Park; Pamir Mountains,May–September,halal available,luxury,5,"family, food, nature"
57,Uzbekistan,Bukhara,Conversation,I have 7 days and want to explore Uzbekistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Itchan Kala; Shah-i-Zinda; Gur-e-Amir,"April–June, September–October",halal available,mid-range,2,"luxury, nature, food"
58,Kyrgyzstan,Karakol,Q&A,What cultural etiquette should I know before visiting Kyrgyzstan?,,"Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",Burana Tower; Ala-Too Square; Fairy Tale Canyon,June–September,limited halal options,budget,2,"budget, adventure, family"
59,Kazakhstan,Karaganda,Destination,"Provide a short description of Karaganda, Kazakhstan.",,Karaganda in Kazakhstan is known for Big Almaty Lake and rich cultural heritage. Best time to visit: May–September. Popular foods: Kurt.,Charyn Canyon; Aksu-Zhabagly; Medeu Skating Rink,May–September,halal available,luxury,2,"family, halal, luxury"
60,Kyrgyzstan,Naryn,Destination,"Provide a short description of Naryn, Kyrgyzstan.",,Naryn in Kyrgyzstan is known for Burana Tower and rich cultural heritage. Best time to visit: June–September. Popular foods: Laghman.,Fairy Tale Canyon; Burana Tower; Issyk-Kul Lake,June–September,halal available,mid-range,3,"family, nature, history"
61,Kazakhstan,Shymkent,Q&A,How do I get a visa for Kazakhstan (if needed)?,,Visa requirements vary by nationality. Check the embassy website or official government portal for the latest visa rules for Kazakhstan.,Medeu Skating Rink; Aksu-Zhabagly; Charyn Canyon,May–September,halal available,mid-range,7,"family, history, nature"
62,Kyrgyzstan,Osh,Q&A,How can I travel from Osh to the capital of Kyrgyzstan?,,Kyrgyzstan offers diverse travel experiences; let me know your interests.,Ala-Too Square; Issyk-Kul Lake; Son-Kul Lake,June–September,halal available,budget,5,"family, halal, nature"
63,Tajikistan,Dushanbe,Conversation,"I'm on a tight budget, any cheap places to stay in Dushanbe?",,I will suggest budget guesthouses and hostels near major attractions.,Fann Mountains; Rudaki Park; Pamir Mountains,May–September,halal available,budget,1,"family, budget, adventure"
64,Uzbekistan,Tashkent,Destination,"Provide a short description of Tashkent, Uzbekistan.",,"Tashkent in Uzbekistan is known for Registan and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Registan; Gur-e-Amir; Shah-i-Zinda,"April–June, September–October",halal available,mid-range,1,"adventure, history, family"
65,Tajikistan,Panjakent,Destination,"Provide a short description of Panjakent, Tajikistan.",,Panjakent in Tajikistan is known for Ancient Penjikent and rich cultural heritage. Best time to visit: May–September. Popular foods: Qurutob.,Ancient Penjikent; Rudaki Park; Pamir Mountains,May–September,limited halal options,mid-range,10,"budget, food, family"
66,Turkmenistan,Ashgabat,Destination,"Provide a short description of Ashgabat, Turkmenistan.",,"Ashgabat in Turkmenistan is known for Darvaza Gas Crater and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Ichlekli.",Ruins of Merv; Nisa Fortress; Kunya-Urgench,"April–June, September–October",halal available,budget,2,"nature, luxury, history"
67,Tajikistan,Istaravshan,Destination,"Provide a short description of Istaravshan, Tajikistan.",,Istaravshan in Tajikistan is known for Rudaki Park and rich cultural heritage. Best time to visit: May–September. Popular foods: Osh.,Iskanderkul; Pamir Mountains; Rudaki Park,May–September,halal available,luxury,10,"luxury, history, halal"
68,Kazakhstan,Shymkent,Conversation,"I'm on a tight budget, any cheap places to stay in Shymkent?",,I will suggest budget guesthouses and hostels near major attractions.,Medeu Skating Rink; Big Almaty Lake; Charyn Canyon,May–September,halal available,luxury,2,"family, budget, nature"
69,Uzbekistan,Tashkent,Q&A,How can I travel from Tashkent to the capital of Uzbekistan?,,Uzbekistan offers diverse travel experiences; let me know your interests.,Shah-i-Zinda; Ark Fortress; Gur-e-Amir,"April–June, September–October",halal available,luxury,3,"budget, food, family"
70,Turkmenistan,Dashoguz,Destination,"Provide a short description of Dashoguz, Turkmenistan.",,"Dashoguz in Turkmenistan is known for Yangykala Canyon and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Ichlekli.",Kunya-Urgench; Nisa Fortress; Yangykala Canyon,"April–June, September–October",halal available,budget,2,"history, budget, halal"
71,Kyrgyzstan,Jalal-Abad,Q&A,Which mosque or prayer facilities are near Jalal-Abad's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Issyk-Kul Lake; Son-Kul Lake; Burana Tower,June–September,halal available,mid-range,2,"budget, halal, adventure"
72,Uzbekistan,Khiva,Q&A,"Recommend a 3-day itinerary for Khiva, Uzbekistan.",,Day 1: Explore the city highlights in Khiva. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Ark Fortress; Registan; Itchan Kala,"April–June, September–October",halal available,luxury,4,"family, halal, adventure"
73,Turkmenistan,Ashgabat,Destination,"Provide a short description of Ashgabat, Turkmenistan.",,"Ashgabat in Turkmenistan is known for Nisa Fortress and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Plov.",Nisa Fortress; Darvaza Gas Crater; Ruins of Merv,"April–June, September–October",halal available,budget,7,"luxury, adventure, history"
74,Kazakhstan,Aktau,Q&A,Which mosque or prayer facilities are near Aktau's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Big Almaty Lake; Aksu-Zhabagly; Charyn Canyon,May–September,halal available,luxury,2,"family, adventure, halal"
75,Tajikistan,Dushanbe,Q&A,What outdoor activities are popular in Tajikistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Ancient Penjikent; Pamir Mountains; Fann Mountains,May–September,halal available,luxury,1,"budget, history, nature"
76,Uzbekistan,Khiva,User_Preference,I prefer mountains and hiking.,,"Recommend outdoor, nature-focused destinations in Uzbekistan.",Itchan Kala; Ark Fortress; Shah-i-Zinda,"April–June, September–October",halal available,mid-range,10,"luxury, adventure, nature"
77,Tajikistan,Panjakent,Q&A,"Are there halal restaurants in Panjakent, Tajikistan?",,"Yes, Panjakent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Ancient Penjikent; Pamir Mountains; Iskanderkul,May–September,halal available,mid-range,3,"family, budget, history"
78,Kyrgyzstan,Karakol,Conversation,"I'm on a tight budget, any cheap places to stay in Karakol?",,I will suggest budget guesthouses and hostels near major attractions.,Son-Kul Lake; Issyk-Kul Lake; Fairy Tale Canyon,June–September,halal available,mid-range,3,"budget, adventure, food"
79,Kazakhstan,Astana,Destination,"Provide a short description of Astana, Kazakhstan.",,Astana in Kazakhstan is known for Medeu Skating Rink and rich cultural heritage. Best time to visit: May–September. Popular foods: Kurt.,Charyn Canyon; Bayterek Tower; Big Almaty Lake,May–September,halal available,mid-range,4,"food, adventure, history"
80,Kazakhstan,Aktau,User_Preference,I need halal-friendly accommodation and nearby mosques.,,List halal-friendly cities and facilities in Kazakhstan.,Charyn Canyon; Big Almaty Lake; Aksu-Zhabagly,May–September,halal available,mid-range,1,"food, adventure, halal"
81,Kazakhstan,Almaty,Destination,"Provide a short description of Almaty, Kazakhstan.",,Almaty in Kazakhstan is known for Bayterek Tower and rich cultural heritage. Best time to visit: May–September. Popular foods: Kurt.,Aksu-Zhabagly; Big Almaty Lake; Bayterek Tower,May–September,halal available,mid-range,10,"budget, food, halal"
82,Tajikistan,Panjakent,Q&A,"Suggest top places to visit in Panjakent, Tajikistan.",,"Top attractions in Tajikistan include Pamir Mountains, Fann Mountains, Iskanderkul.",Iskanderkul; Rudaki Park; Ancient Penjikent,May–September,halal available,luxury,10,"nature, adventure, luxury"
83,Kyrgyzstan,Bishkek,Q&A,Which mosque or prayer facilities are near Bishkek's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Ala-Too Square; Burana Tower; Issyk-Kul Lake,June–September,halal available,budget,2,"budget, family, halal"
84,Kazakhstan,Astana,Q&A,What cultural etiquette should I know before visiting Kazakhstan?,,"Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",Big Almaty Lake; Medeu Skating Rink; Aksu-Zhabagly,May–September,limited halal options,budget,2,"luxury, halal, food"
85,Tajikistan,Khorog,Destination,"Provide a short description of Khorog, Tajikistan.",,Khorog in Tajikistan is known for Rudaki Park and rich cultural heritage. Best time to visit: May–September. Popular foods: Osh.,Ancient Penjikent; Pamir Mountains; Iskanderkul,May–September,halal available,mid-range,5,"family, halal, adventure"
86,Kyrgyzstan,Naryn,Conversation,I have 7 days and want to explore Kyrgyzstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Son-Kul Lake; Fairy Tale Canyon; Ala-Too Square,June–September,halal available,luxury,3,"family, halal, food"
87,Uzbekistan,Khiva,Q&A,What cultural etiquette should I know before visiting Uzbekistan?,,"Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",Registan; Itchan Kala; Gur-e-Amir,"April–June, September–October",halal available,budget,5,"halal, nature, luxury"
88,Kazakhstan,Aktau,Q&A,Which mosque or prayer facilities are near Aktau's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Medeu Skating Rink; Charyn Canyon; Bayterek Tower,May–September,halal available,mid-range,10,"luxury, history, family"
89,Kyrgyzstan,Osh,Q&A,How can I travel from Osh to the capital of Kyrgyzstan?,,Kyrgyzstan offers diverse travel experiences; let me know your interests.,Burana Tower; Son-Kul Lake; Ala-Too Square,June–September,halal available,luxury,3,"family, budget, nature"
90,Kyrgyzstan,Naryn,User_Preference,I need halal-friendly accommodation and nearby mosques.,,List halal-friendly cities and facilities in Kyrgyzstan.,Burana Tower; Ala-Too Square; Issyk-Kul Lake,June–September,limited halal options,budget,10,"adventure, budget, halal"
91,Tajikistan,Panjakent,Q&A,Which mosque or prayer facilities are near Panjakent's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Rudaki Park; Iskanderkul; Pamir Mountains,May–September,halal available,mid-range,3,"family, luxury, adventure"
92,Kyrgyzstan,Bishkek,Destination,"Provide a short description of Bishkek, Kyrgyzstan.",,Bishkek in Kyrgyzstan is known for Son-Kul Lake and rich cultural heritage. Best time to visit: June–September. Popular foods: Beshbarmak.,Fairy Tale Canyon; Burana Tower; Son-Kul Lake,June–September,halal available,budget,7,"luxury, halal, food"
93,Tajikistan,Dushanbe,Q&A,What are the top tourist attractions in Tajikistan?,,"Top attractions in Tajikistan include Fann Mountains, Rudaki Park, Iskanderkul.",Iskanderkul; Pamir Mountains; Fann Mountains,May–September,halal available,mid-range,3,"budget, family, halal"
94,Kazakhstan,Karaganda,Destination,"Provide a short description of Karaganda, Kazakhstan.",,Karaganda in Kazakhstan is known for Big Almaty Lake and rich cultural heritage. Best time to visit: May–September. Popular foods: Baursak.,Big Almaty Lake; Bayterek Tower; Charyn Canyon,May–September,halal available,budget,4,"luxury, nature, food"
95,Uzbekistan,Bukhara,Destination,"Provide a short description of Bukhara, Uzbekistan.",,"Bukhara in Uzbekistan is known for Ark Fortress and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Plov.",Itchan Kala; Ark Fortress; Registan,"April–June, September–October",limited halal options,mid-range,1,"adventure, halal, budget"
96,Turkmenistan,Ashgabat,Q&A,"Recommend a 3-day itinerary for Ashgabat, Turkmenistan.",,Day 1: Explore the city highlights in Ashgabat. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Ruins of Merv; Yangykala Canyon; Nisa Fortress,"April–June, September–October",halal available,luxury,2,"adventure, budget, nature"
97,Kyrgyzstan,Osh,Conversation,"I'm on a tight budget, any cheap places to stay in Osh?",,I will suggest budget guesthouses and hostels near major attractions.,Ala-Too Square; Burana Tower; Fairy Tale Canyon,June–September,limited halal options,luxury,3,"food, history, halal"
98,Uzbekistan,Samarkand,Q&A,Which mosque or prayer facilities are near Samarkand's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Gur-e-Amir; Ark Fortress; Registan,"April–June, September–October",halal available,budget,2,"budget, family, history"
99,Uzbekistan,Khiva,Destination,"Provide a short description of Khiva, Uzbekistan.",,"Khiva in Uzbekistan is known for Ark Fortress and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Shah-i-Zinda; Registan; Gur-e-Amir,"April–June, September–October",halal available,luxury,1,"family, adventure, halal"
